Nama Perusahaan,Termin,Pekerjaan,Fee,BULAN,WEEK,ESTIMASI CASH IN,PIC
Koperasi Perkebunan Masyarakat Adat Suku Wate Asiania Kampung Wanggar Pantai,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
KSU Mitra Sawit Lestari,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
Koperasi Bima Penyang Mandiri,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
Koperasi Permata,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
Koperasi Produsen Bangkuang Makmur Lestari,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
Koperasi Rongkang Jaya Mandiri,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
Koperasi Sinar Mentari Pagi,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
KSU Haluan Jaya,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
KSU Patahu Manuah,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
KSU Santuai Jaya,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
KSU Tewai Hara Makmur,Second,audit 31 des 2023,"7,500,000",MEI,MINGGU 3,JUNI,GRESSY
PT Karya Prajona Nelayan,Second,Audit 31 Des 2024,"7,500,000",MARET,MINGGU 3,APRIL,GRESSY
PT Etsi Hutama Maritim,Final,audit 31 des 2024,"7,000,000",APRIL,MINGGU 2,MEI,GRESSY
PT Diva Perdana Pesona,Final,Audit 31 Des 2024,"7,000,000",MARET,MINGGU 3,APRIL,LINA
PT Telaga Mas Kalimantan,Final,Audit 31 Des 2024,"7,000,000",MARET,MINGGU 3,APRIL,LINA
PT Anvaya,Final,audit 31 des 2023,"7,000,000",MARET,MINGGU 3,APRIL,GRESSY
PT Sinbar Persada Indonesia,Final,Audit 31 Des 2024,"7,000,000",MARET,MINGGU 3,APRIL,GRESSY
Kop Karya Mitra Bakuba,Final,Audit 31 des 2024,"7,000,000",APRIL,MINGGU 3,MEI,GRESSY
Kop Melata Jaya Indah,Final,Audit 31 des 2024,"7,000,000",APRIL,MINGGU 3,MEI,GRESSY
Kop Bina Semua Jaya,Final,Audit 31 des 2024,"7,000,000",APRIL,MINGGU 3,MEI,GRESSY
Kop Harapan Makmur Bersama,Final,Audit 31 des 2024,"7,000,000",APRIL,MINGGU 3,MEI,GRESSY
Koperasi Kondang Maju Bersama,Final,Audit 31 des 2024,"7,000,000",APRIL,MINGGU 3,MEI,GRESSY
Kop Batu Dara Omas,Final,Audit 31 des 2024,"7,000,000",APRIL,MINGGU 3,MEI,GRESSY
Koperasi Jasa Nuangan Kasuma Jaya,Final,Audit 31 des 2024,"7,000,000",APRIL,MINGGU 3,MEI,GRESSY
Kop Seluai Jaya Abadi,Final,Audit 31 des 2024,"7,000,000",APRIL,MINGGU 3,MEI,GRESSY
Kop Turun Bakunyit Abadi,Final,Audit 31 des 2024,"7,000,000",APRIL,MINGGU 3,MEI,GRESSY
Kop Sumber Air Jaya,Final,Audit 31 des 2024,"7,000,000",APRIL,MINGGU 3,MEI,GRESSY
Kop Kelampai Raya Lestari,Final,Audit 31 des 2024,"7,000,000",APRIL,MINGGU 3,MEI,GRESSY
Kop Rimba Baguna,Final,Audit 31 des 2024,"7,000,000",APRIL,MINGGU 3,MEI,GRESSY
